x	y1	y2	y3	y4	y5
-0.83	0.56513449	0.450462693	0.282694482	0.114926271	0.000254474
-0.82	0.569776829	0.452576139	0.285036358	0.117496578	0.000295888
-0.81	0.574394303	0.454634787	0.287368897	0.120103007	0.000343491
-0.8	0.578984989	0.456637667	0.289691553	0.122745439	0.000398116
-0.79	0.583546867	0.458583827	0.29200378	0.125423732	0.000460692
-0.78	0.588077806	0.460472335	0.29430503	0.128137724	0.000532254
-0.77	0.592575557	0.462302276	0.296594755	0.130887234	0.000613953
-0.76	0.597037745	0.464072758	0.298872406	0.133672054	0.000707067
-0.75	0.601461855	0.465782906	0.301137432	0.136491958	0.00081301
-0.74	0.605845224	0.467431871	0.303389284	0.139346696	0.000933344
-0.73	0.610185028	0.469018823	0.30562741	0.142235997	0.001069792
-0.72	0.614478273	0.470542957	0.30785126	0.145159564	0.001224248
-0.71	0.618721778	0.472003489	0.310060285	0.148117081	0.001398792
-0.7	0.622912168	0.473399662	0.312253933	0.151108204	0.001595699
-0.69	0.627045856	0.474730743	0.314431657	0.154132571	0.001817458
-0.68	0.631119036	0.475996024	0.316592908	0.157189791	0.002066779
-0.67	0.635127665	0.477194824	0.318737138	0.160279453	0.002346612
-0.66	0.639067453	0.478326487	0.320863804	0.163401121	0.002660154
-0.65	0.64293385	0.479390386	0.32297236	0.166554334	0.00301087
-0.64	0.646722031	0.480385921	0.325062264	0.169738607	0.003402497
-0.63	0.65042689	0.481312521	0.327132977	0.172953433	0.003839064
-0.62	0.654043024	0.482169643	0.329183961	0.176198278	0.004324897
-0.61	0.657564724	0.482956775	0.33121468	0.179472585	0.004864637
-0.6	0.660985964	0.483673433	0.333224603	0.182775773	0.005463241
-0.59	0.6643004	0.484319165	0.335213199	0.186107234	0.006125999
-0.58	0.667501352	0.484893548	0.337179944	0.189466339	0.006858536
-0.57	0.67058181	0.485396193	0.339124313	0.192852434	0.007666817
-0.56	0.673534424	0.485826739	0.341045789	0.196264839	0.008557154
-0.55	0.676351506	0.486184859	0.342943855	0.199702851	0.009536204
-0.54	0.679025032	0.48647026	0.344818001	0.203165743	0.01061097
-0.53	0.681546644	0.486682678	0.346667721	0.206652765	0.011788798
-0.52	0.683907658	0.486821885	0.348492513	0.210163141	0.013077367
-0.51	0.686099074	0.486887685	0.350291879	0.213696073	0.014484683
-0.5	0.688111588	0.486879915	0.352065327	0.217250739	0.016019065
-0.49	0.689935612	0.486798447	0.35381237	0.220826294	0.017689129
-0.48	0.691561289	0.486643186	0.355532529	0.224421871	0.019503768
-0.47	0.692978523	0.486414072	0.357225325	0.228036579	0.021472128
-0.46	0.694177	0.486111078	0.358890291	0.231669504	0.023603582
-0.45	0.695146227	0.485734212	0.360526962	0.235319713	0.025907698
-0.44	0.695875563	0.485283518	0.362134882	0.238986247	0.028394202
-0.43	0.69635426	0.484759072	0.3637136	0.242668129	0.031072941
-0.42	0.696571508	0.484160986	0.365262673	0.246364359	0.033953838
-0.41	0.696516482	0.483489406	0.366781662	0.250073919	0.037046843
-0.4	0.696178395	0.482744513	0.36827014	0.253795767	0.040361886
-0.39	0.695546552	0.481926524	0.369727684	0.257528844	0.043908816
-0.38	0.694610412	0.481035687	0.371153879	0.261272072	0.047697347
-0.37	0.693359644	0.480072287	0.372548319	0.265024351	0.051736995
-0.36	0.691784201	0.479036644	0.373910605	0.268784567	0.05603701
-0.35	0.68987438	0.477929109	0.375240347	0.272551585	0.060606314
-0.34	0.687620897	0.476750069	0.376537162	0.276324254	0.065453426
-0.33	0.685014957	0.475499946	0.377800677	0.280101407	0.070586396
-0.32	0.682048324	0.474179192	0.379030526	0.28388186	0.076012728
-0.31	0.678713399	0.472788295	0.380226355	0.287664415	0.08173931
-0.3	0.675003291	0.471327775	0.381387815	0.291447856	0.08777234
-0.29	0.670911888	0.469798185	0.382514571	0.295230957	0.094117253
-0.28	0.666433932	0.468200109	0.383606292	0.299012475	0.100778652
-0.27	0.661565086	0.466534165	0.384662661	0.302791158	0.107760237
-0.26	0.656302	0.464801	0.385683369	0.306565738	0.115064738
-0.25	0.650642377	0.463001295	0.386668117	0.310334939	0.122693857
-0.24	0.644585029	0.461135759	0.387616615	0.314097471	0.130648202
-0.23	0.638129932	0.459205133	0.388528585	0.317852038	0.138927238
-0.22	0.631278278	0.457210186	0.389403759	0.321597332	0.147529239
-0.21	0.624032514	0.455151717	0.390241878	0.325332038	0.156451241
-0.2	0.616396376	0.453030555	0.391042694	0.329054833	0.165689012
-0.19	0.608374925	0.450847554	0.391805971	0.332764389	0.175237017
-0.18	0.59997456	0.448603597	0.392531483	0.336459369	0.185088406
-0.17	0.591203034	0.446299596	0.393219015	0.340138434	0.195234995
-0.16	0.582069457	0.443936485	0.393868362	0.343800239	0.205667266
-0.15	0.572584289	0.441515226	0.394479331	0.347443436	0.216374373
-0.14	0.562759328	0.439036805	0.395051741	0.351066676	0.227344154
-0.13	0.552607684	0.436502234	0.395585421	0.354668607	0.238563158
-0.12	0.542143744	0.433912547	0.396080212	0.358247877	0.25001668
-0.11	0.531383134	0.431268799	0.396535966	0.361803133	0.261688798
-0.1	0.52034266	0.42857207	0.396952547	0.365333025	0.273562435
-0.09	0.509040253	0.42582346	0.397329832	0.368836203	0.285619411
-0.08	0.497494894	0.42302409	0.397667706	0.372311321	0.297840518
-0.07	0.485726538	0.420175098	0.397966068	0.375757038	0.310205598
-0.06	0.473756032	0.417277644	0.39822483	0.379172016	0.322693629
-0.05	0.461605012	0.414332906	0.398443914	0.382554922	0.335282816
-0.04	0.449295814	0.411342076	0.398623254	0.385904432	0.347950694
-0.03	0.436851364	0.408306366	0.398762797	0.389219228	0.36067423
-0.02	0.424295067	0.405227	0.3988625	0.392498	0.373429932
-0.01	0.411650698	0.40210522	0.398922334	0.395739447	0.386193969
6.25E-17	0.39894228	0.39894228	0.39894228	0.39894228	0.39894228
0.01	0.386193969	0.395739447	0.398922334	0.40210522	0.411650698
0.02	0.373429932	0.392498	0.3988625	0.405227	0.424295067
0.03	0.36067423	0.389219228	0.398762797	0.408306366	0.436851364
0.04	0.347950694	0.385904432	0.398623254	0.411342076	0.449295814
0.05	0.335282816	0.382554922	0.398443914	0.414332906	0.461605012
0.06	0.322693629	0.379172016	0.39822483	0.417277644	0.473756032
